Year,Movie,Award,Winner
2011,Faust,Satellite,N
2011,Jane Eyre,Satellite,N
2011,Mysteries of Lisbon,Satellite,N
2012,A Royal Affair,Satellite,Y
2012,Les Misérables,Satellite,N
2012,Anna Karenina,Satellite,N
2012,Cloud Atlas,Satellite,N
2012,"Farewell, My Queen",Satellite,N
2012,Snow White and the Huntsman,Satellite,N
2013,The Invisible Woman,Satellite,Y
2013,Rush,Satellite,N
2013,The Great Gatsby,Satellite,N
2013,Saving Mr. Banks,Satellite,N
2013,12 Years a Slave,Satellite,N
2013,Oz the Great and Powerful,Satellite,N
2014,The Grand Budapest Hotel,Satellite,Y
2014,Belle,Satellite,N
2014,Into the Woods,Satellite,N
2014,Maleficent,Satellite,N
2014,Noah,Satellite,N
2014,Saint Laurent,Satellite,N
2015,The Assassin,Satellite,Y
2015,Cinderella,Satellite,N
2015,The Danish Girl,Satellite,N
2015,Far from the Madding Crowd,Satellite,N
2015,Macbeth,Satellite,N
2015,The Throne,Satellite,N
2016,Jackie,Satellite,Y
2016,Alice Through the Looking Glass,Satellite,N
2016,Captain Fantastic,Satellite,N
2016,Doctor Strange,Satellite,N
2016,La La Land,Satellite,N
2016,Love & Friendship,Satellite,N
2017,Beauty and the Beast,Satellite,
2017,The Beguiled,Satellite,
2017,Dunkirk,Satellite,
2017,Murder on the Orient Express,Satellite,
2017,Phantom Thread,Satellite,
2017,Victoria & Abdul,Satellite,
2000,The Cell,OF&TA,Y
2000,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",OF&TA,N
2000,The House of Mirth,OF&TA,N
2000,How the Grinch Stole Christmas,OF&TA,N
2000,Quills,OF&TA,N
2001,Gosford Park,OF&TA,N
2001,Harry Potter and the Sorcerer's Stone,OF&TA,N
2001,The Lord of the Rings: The Fellowship of the Ring,OF&TA,N
2001,Moulin Rouge!,OF&TA,Y
2001,Planet of the Apes,OF&TA,N
2002,Chicago,OF&TA,N
2002,Far From Heaven,OF&TA,N
2002,Frida,OF&TA,N
2002,Gangs of New York,OF&TA,N
2002,The Lord of the Rings: The Two Towers,OF&TA,Y
2003,Down with Love,OF&TA,N
2003,Girl with a Pearl Earring,OF&TA,N
2003,The Lord of the Rings: The Return of the King,OF&TA,Y
2003,Master and Commander: The Far Side of the World,OF&TA,N
2003,Pirates of the Caribbean: The Curse of the Black Pearl,OF&TA,N
2004,The Aviator,OF&TA,N
2004,Hero,OF&TA,N
2004,House of Flying Daggers (Shi mian mai fu),OF&TA,Y
2004,The Phantom of the Opera,OF&TA,N
2004,Vanity Fair,OF&TA,N
2005,King Kong,OF&TA,N
2005,Memoirs of a Geisha,OF&TA,Y
2005,Mrs. Henderson Presents,OF&TA,N
2005,Pride & Prejudice,OF&TA,N
2005,2046,OF&TA,N
2006,The Devil Wears Prada,OF&TA,N
2006,Dreamgirls,OF&TA,N
2006,Marie Antoinette,OF&TA,Y
2006,The Prestige,OF&TA,N
2006,The Queen,OF&TA,N
2007,The Assassination of Jesse James by the Coward Robert Ford,OF&TA,N
2007,Atonement,OF&TA,N
2007,Hairspray,OF&TA,N
2007,"Lust, Caution",OF&TA,N
2007,Sweeney Todd: The Demon Barber of Fleet Street,OF&TA,Y
2008,Changeling,OF&TA,N
2008,The Curious Case of Benjamin Button,OF&TA,Y
2008,The Duchess,OF&TA,N
2008,Milk,OF&TA,N
2008,Revolutionary Road,OF&TA,N
2009,Bright Star,OF&TA,Y
2009,Coco Before Chanel (Coco avant Chanel),OF&TA,N
2009,An Education,OF&TA,N
2009,Inglourious Basterds,OF&TA,N
2009,The Young Victoria,OF&TA,N
2010,Alice in Wonderland,OF&TA,N
2010,Black Swan,OF&TA,N
2010,The King's Speech,OF&TA,Y
2010,Made in Dagenham,OF&TA,N
2010,Scott Pilgrim vs. The World,OF&TA,N
2011,The Artist,OF&TA,N
2011,The Help,OF&TA,N
2011,Hugo,OF&TA,N
2011,Jane Eyre,OF&TA,Y
2011,My Week with Marilyn,OF&TA,N
2012,Anna Karenina,OF&TA,Y
2012,Les Misérables,OF&TA,N
2012,Lincoln,OF&TA,N
2012,"Mirror, Mirror",OF&TA,N
2012,Moonrise Kingdom,OF&TA,N
2013,12 Years a Slave,OF&TA,N
2013,American Hustle,OF&TA,N
2013,The Great Gatsby,OF&TA,Y
2013,The Hunger Games: Catching Fire,OF&TA,N
2013,Saving Mr. Banks,OF&TA,N
2014,Belle,OF&TA,N
2014,The Grand Budapest Hotel,OF&TA,Y
2014,The Immigrant,OF&TA,N
2014,Into the Woods,OF&TA,N
2014,Mr. Turner,OF&TA,N
2015,Brooklyn,OF&TA,N
2015,Carol,OF&TA,N
2015,Cinderella,OF&TA,Y
2015,The Danish Girl,OF&TA,N
2015,Mad Max: Fury Road,OF&TA,N
2016,The Dressmaker,OF&TA,N
2016,Fantastic Beasts and Where to Find Them,OF&TA,Y
2016,Florence Foster Jenkins,OF&TA,N
2016,Jackie,OF&TA,N
2016,La La Land,OF&TA,N
2017,Beauty and the Beast,OF&TA,
2017,Blade Runner 2049,OF&TA,
2017,Phantom Thread,OF&TA,
2017,The Shape of Water,OF&TA,
2017,Wonder Woman,OF&TA,
2000,Gladiator,LVFCS,Y
2016,The Witch,LVFCS,Y
2001,The Lord of the Rings: The Fellowship of the Ring,LVFCS,Y
2002,The Lord of the Rings: The Two Towers,LVFCS,Y
2003,The Lord of the Rings: The Return of the King,LVFCS,Y
2004,The Aviator,LVFCS,Y
2005,King Kong,LVFCS,Y
2006,Marie Antoinette,LVFCS,Y
